train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
2.8641328011841334,0.10957983193277311,2.8684680410610732,0.1105510752688172,0.07220402809744694
2.748715529481904,0.14504201680672268,2.7462465301636727,0.15255376344086022,0.13169339085737908
2.6927416706886613,0.16588235294117648,2.7057126465664116,0.15423387096774194,0.14169046434993937
2.636019842484418,0.18915966386554622,2.6502620045856764,0.1743951612903226,0.1626077579922848
2.5750041030435002,0.20294117647058824,2.679206996835688,0.16834677419354838,0.14781275120921358
2.5160663935717413,0.2215966386554622,2.7256416864292596,0.1609543010752688,0.15051372134486682
2.4667225865756763,0.24210084033613447,2.6449461342186056,0.19186827956989247,0.17969796017394338
2.408226475835848,0.25546218487394956,2.7489348432069183,0.17641129032258066,0.16116677807858804
2.3592933900015693,0.2715966386554622,2.704568293786818,0.18716397849462366,0.17854562556386674
2.3111006089218527,0.29168067226890754,2.6928172778057795,0.18077956989247312,0.17220888231883247
2.214434350117916,0.3136134453781513,2.6596054953913533,0.20631720430107528,0.203342361308189
2.1538140070137857,0.33747899159663863,2.687706175670829,0.19993279569892472,0.19817846829436117
2.0546804487404704,0.36722689075630255,2.7110953023356776,0.2180779569892473,0.21439235854940453
1.9649949500540724,0.3977310924369748,2.853971758196431,0.19455645161290322,0.19146810017190846
1.8607879525272786,0.43159663865546216,2.863908726681945,0.20262096774193547,0.1964322651587552
1.7569405450740783,0.46647058823529414,2.8859853898325274,0.19690860215053763,0.19681147303509905
1.6692072213998361,0.48983193277310927,2.9609058108381046,0.19254032258064516,0.18930298871311008
1.5448358112223008,0.5334453781512605,3.0078875633978073,0.198252688172043,0.19342218706586553
1.4400730796220924,0.5634453781512605,3.0641893366331696,0.20430107526881722,0.20297824859214483
1.3642024895323426,0.5856302521008403,3.1883389360161236,0.1905241935483871,0.18573360996099572
1.2547368770487168,0.6129411764705882,3.288295643303984,0.2049731182795699,0.206373449078913
1.1627297566918766,0.6479831932773109,3.2661921542177916,0.20631720430107528,0.20501134365412127
1.0502556483084413,0.6836134453781513,3.405889716199649,0.20329301075268819,0.19955329824019544
0.9590790195625369,0.7066386554621849,3.3774634740685903,0.19993279569892472,0.19779657867206094
0.8947785601094991,0.7298319327731092,3.8420300252975954,0.17708333333333334,0.1762682791997375
0.8132442467753627,0.7521008403361344,3.569173618029523,0.20967741935483872,0.20965650338971964
0.751197600585072,0.7703361344537815,3.681687698569349,0.21538978494623656,0.21536412996337487
0.6653273196581031,0.7942016806722689,3.737734627980058,0.21370967741935484,0.21135802337904597
0.6178500931703744,0.8119327731092437,3.8498703510530534,0.2086693548387097,0.20888681632985792
0.5976721653417378,0.8177310924369748,3.9474677091003745,0.2103494623655914,0.20642036508594322
